,Number_of_beds,Number_of_hospitals,State,County,Urban_Rural_Code,Deaths_COVID,Deaths_total,never,rarely,sometimes,frequently,always,mask_score
0,3667.0,22.0,CA,Alameda,Large central metro,573,"10,908",0.019,0.008,0.055,0.123,0.795,3.667
1,0.0,0.0,CA,Alpine,,0,0,0.025,0.085,0.088,0.19,0.612,3.279
2,52.0,1.0,CA,Amador,Noncore,31,415,0.045,0.013,0.099,0.188,0.655,3.395
3,553.0,6.0,CA,Butte,Small metro,101,"2,313",0.015,0.043,0.111,0.204,0.626,3.381
4,25.0,1.0,CA,Calaveras,Noncore,12,385,0.045,0.019,0.098,0.276,0.562,3.291
5,48.0,1.0,CA,Colusa,Noncore,12,116,0.027,0.031,0.092,0.151,0.7,3.468
6,1803.0,10.0,CA,Contra Costa,Large fringe metro,293,"8,181",0.018,0.016,0.039,0.121,0.806,3.681
7,49.0,1.0,CA,Del Norte,,0,0,0.01,0.135,0.112,0.196,0.547,3.135
8,252.0,3.0,CA,El Dorado,,0,0,0.028,0.042,0.072,0.183,0.675,3.435
9,3584.0,15.0,CA,Fresno,Medium metro,679,"8,453",0.021,0.022,0.059,0.156,0.741,3.572
10,47.0,1.0,CA,Glenn,,0,0,0.028,0.026,0.146,0.206,0.594,3.312
11,299.0,6.0,CA,Humboldt,Micropolitan,11,"1,243",0.042,0.006,0.018,0.069,0.865,3.709
12,268.0,2.0,CA,Imperial,Small metro,260,"1,266",0.001,0.005,0.03,0.128,0.836,3.793
13,62.0,2.0,CA,Inyo,Noncore,18,191,0.033,0.011,0.008,0.058,0.889,3.757
14,1892.0,14.0,CA,Kern,Medium metro,547,"6,816",0.022,0.028,0.105,0.177,0.668,3.441
15,173.0,1.0,CA,Kings,Small metro,156,"1,001",0.075,0.016,0.049,0.094,0.766,3.46
16,62.0,2.0,CA,Lake,Micropolitan,21,637,0.003,0.004,0.007,0.136,0.849,3.822
17,25.0,1.0,CA,Lassen,,0,0,0.064,0.068,0.162,0.225,0.482,2.995
18,26672.0,112.0,CA,Los Angeles,Large central metro,"8,034","75,463",0.021,0.013,0.049,0.131,0.786,3.648
19,464.0,2.0,CA,Madera,Small metro,104,"1,014",0.019,0.059,0.048,0.124,0.751,3.531
20,458.0,4.0,CA,Marin,Large fringe metro,116,"2,060",0.011,0.0,0.046,0.141,0.802,3.723
21,34.0,1.0,CA,Mariposa,,0,0,0.01,0.094,0.049,0.186,0.661,3.394
22,142.0,3.0,CA,Mendocino,Micropolitan,23,884,0.002,0.003,0.004,0.222,0.77,3.757
23,242.0,3.0,CA,Merced,Medium metro,128,"1,608",0.026,0.036,0.089,0.146,0.703,3.464
24,113.0,2.0,CA,Modoc,,0,0,0.068,0.019,0.095,0.204,0.615,3.281
25,17.0,1.0,CA,Mono,,0,0,0.011,0.026,0.012,0.07,0.88,3.78
26,794.0,5.0,CA,Monterey,Medium metro,173,"2,815",0.023,0.006,0.066,0.141,0.763,3.613
